brand,name,old_prices_reais,old_prices_centavos,new_prices_reais,new_price_centavos,review_rating_number,review_amount
,Tenis Feminino Masculino Olimp Academia Leve Confortável,69,99,6,80,4.4,(1050)
OLYMPIKUS,Tênis Masculino Olympikus Cyber 4 Original,279,99,207,19,,
,Tenis Sport Titanium  Original - Esportivo,78,90,61,75,4.5,(3439)
OLDSEN,Tênis Masculino Academia Esportivo Caminhada Academia ,78,90,67,06,4.3,(143)
BOX200,Tênis Masculino Tamanho Especial Esporte Caminhada Box 200,89,90,76,41,4.5,(578)
FILA,Tênis Fila Racer Gripper Masculino Original,329,99,232,53,,
SAPATOFRAN,Tênis Masculino Esportivo Academia Kit C/meia Lupo + Relógio,107,90,10,49,4.3,(2452)
FILA,Fila KR6 Masculino Adultos,599,40,359,84,4.7,(160)
ASCENSION,Tenis Ortopedico Masculino Corrida Caminhada Academia Treino,119,67,110,76,4.4,(115)
FILA,Tênis Fila Classic Runner Sl Masculino Branco,289,90,32,21,,
FILA,Fila Magnus Masculino Adultos F01AT00021,246,38,197,10,4.7,(506)
OLYMPIKUS,Tênis Olympikus Rayo - Masculino Casual Confortável E Leve,259,99,197,59,,
FILA,Tênis Fila Racer Nairobi Corrida - Masculino,379,99,334,39,,
FILA,Tênis Fila Masculino Trend 3.0 Treino Caminhada Casual,319,90,281,51,,
UNDER ARMOUR,Under Armour Dagger Masculino Adultos,399,99,348,99,4.4,(30)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,78,99,62,70,4.3,(2218)
FILA,Tênis Racer Gripper Fila Unissex Original ,329,99,237,59,,
FILA,Tênis De Caminhada Masculino Fila Ride Original,329,99,227,43,5.0,(3)
FILA,Tênis Masculino Fila Ride Original,329,99,227,43,5.0,(1)
OLYMPIKUS,Olympikus Cyber 3 Masculino Adultos,199,99,180,50,4.7,(34)
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,69,90,6,79,4.5,(370)
FILA,Tênis Fila Masculino Recovery Esportivo Confortável Original,379,99,36,84,,
FILA,Tênis Fila Masculino Float Elite Corrida ,749,90,457,43,,
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,99,75,04,4.2,(72)
,Tênis Masculino Tamanho Especial Revior Original,139,90,109,12,4.6,(60)
FILA,Tênis Fila Recovery Masculino Preto E Cinza,359,90,35,99,,
EVOLTENN,Tenis Academia Corrida Original Caminhada Evoltenn Crossfit,78,90,71,01,4.5,(3369)
OLYMPIKUS,Tênis Masculino Esportivo Olympikus Soma Original,219,90,172,90,,
FILA,Tênis Para Corrida Masculino Performance Fila Float Elite ,749,90,449,94,,
OLYMPIKUS,Olympikus Aquarios Masculino Adultos,249,99,123,99,4.8,(929)
,Tênis Esportivo On Shoes Masculino/feminino ,77,80,60,80,4.7,(4655)
UNDER ARMOUR,Under Armour Charged Slight 2 Masculino Adultos,359,99,260,99,4.8,(334)
OLDSEN,Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top,78,97,75,02,4.4,(2855)
PUMA,Tênis Puma Skyrocket Lite Masculino Academia Pro Corrida Run,499,99,349,99,4.9,(152)
PUMA,Tênis De Corrida Puma Flyer Runner Mesh Bdp Original,329,90,245,12,,
OLYMPIKUS,Tênis Olympikus Masculino Cyber 4 Confortável Macio Leve ,269,99,194,58,,
FILA,Tênis Fila Ride Masculino Original ,329,99,227,43,5.0,(2)
OLYMPIKUS,Olympikus Casual Triunfo 2 Masculino Adultos,229,90,172,42,4.8,(331)
,Kit Tenis Masculino Academia + Relógio Digital Led + Meia,149,90,114,71,4.4,(478)
OLYMPIKUS,Tênis Olympikus Chroma Masculino Preto Academia Caminhada,251,24,188,10,,
FILA,Tênis Fila Kr6 Masculino,466,83,326,20,4.8,(20)
,Tênis Esporte Masculino Pronta Entrega Barato,66,90,61,54,4.4,(1296)
OLYMPIKUS,Olympikus Casual Triunfo 2 Masculino Adultos,229,90,172,42,4.8,(331)
FILA,Tênis Fila Ride Masculino / Feminino - Original ,329,99,227,43,,
,Tenis Olimp Masculino Academia Mega Fast Corrida Confortavel,119,90,88,35,4.2,(312)
ASICS,Asics Gel-Rebound Masculino Adultos,399,10,359,91,4.5,(13)
DIX, Tênis Maculino Academia Promoção R-4200 - Kit 2 Pares,139,90,132,90,4.2,(553)
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,4.1,(5448)
,Tenis Masculino Feminino Academia Leve Macio Confortável,68,99,6,71,4.5,(1602)
SAPATOFRAN,Tênis Masculino Esportivo Academia Kit C/meia Lupo + Relógio,107,90,10,49,4.3,(2452)
OUSY SHOES,Kit 3 Tênis Caminhada Training Leve Masculino ,229,90,167,82,4.5,(757)
T-SHOES,Tênis Extremecross Speed Trekking Trilha Ciclismo Corrida,174,49,151,80,4.5,(216)
MIZUNO,Tênis Para Corrida Masculino Mizuno Wave Way 3 Treino ,459,90,326,52,,
BF SHOES,Tênis Esportivo Masculino Para Malhar Confortável Lançamento,78,90,69,90,4.5,(1848)
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,90,31,48,4.4,(1509)
NEW BALANCE,Tênis New Balance Fresh Foam Garoé Preto,759,90,75,99,,
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,71,01,4.5,(847)
PUMA,Puma Cell Divide V2 BDP Masculino Adultos,499,90,348,99,4.7,(69)
OLYMPIKUS,Tênis Olympikus Corre Grafeno 2 Masculino,666,56,66,66,,
OLYMPIKUS,Tênis Olympikus Masculino Voa 2 - Original,299,99,33,33,,
OLYMPIKUS,Tênis Olimpikus Olympikus Flash Confortavel Envio Imediato ,95,99,9,33,4.3,(170)
LORENZZO LOPEZ,Kit Tênis Masculino Esportivo Academia E Corrida + Brindes,129,90,116,91,,
PUMA,Tênis Puma Masculino Viz Runner V2 Bdp Corrida Treino,589,90,501,41,,
