brand,name,old_prices_reais,old_prices_centavos,new_prices_reais,new_price_centavos,review_rating_number,review_amount
WM,Tenis Olimp Masculino Feminino Lançamento Muito Envio Rápido,109,99,36,66,4.1,(19)
OLYMPIKUS,Tênis Masculino Olympikus Volcan Academia Corrida Original,249,99,189,99,5.0,(5)
ON RUNNING,On Running Cloudmonster 2 Masculino Branco/preto Adultos,1.149,99,114,,,
OLYMPIKUS,Tênis Olympikus Marte Corrida Caminhada Confortável Unissex,209,90,184,71,5.0,(2)
FILA,Tênis De Corrida Masculino Recovery Fila ,366,90,310,99,4.7,(44)
OLYMPIKUS,Tênis Masculino Esportivo Proof 3 Olympikus,199,99,158,99,4.8,(1637)
FILA,Tênis Fila Original Action Masculino Corrida Treino Sport,233,76,184,30,4.2,(27)
FILA,Tênis Fila Kr6 Corrida Caminhada Academia | Envio Rápido,599,40,359,84,5.0,(6)
OLYMPIKUS,Olympikus Corre 3 3 Sem gênero Adultos,499,99,50,,4.9,(257)
VILI,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,109,49,98,54,4.5,(2075)
,Kit 2 Pares Tênis Feminino E Masculino Casual Old Off Star,159,90,98,53,4.0,(161)
OLYMPIKUS,Tênis Olympikus Masculino Volcan Original,211,10,168,88,4.6,(146)
OLYMPIKUS,Tênis Olympikus Masculino Zex Original - Confortável,229,99,190,89,4.9,(19)
OLYMPIKUS,Tênis Olympikus Index 3 Treino Caminhada Academia Corrida,189,90,31,65,4.8,(64)
OLYMPIKUS,Olympikus Perfect 4 Preto Original® Adultos,279,90,249,11,,
,Sapatenis Masculino Kit 2 Pares Tenis Leve  Sapato Conforto,139,90,69,95,3.2,(25)
OLYMPIKUS,Tênis Masculino Olympikus Marte,199,98,189,98,4.7,(20)
NEW BALANCE,Tênis New Balance Fresh Foam Arishi V4 Marinho - Masculino,349,90,33,92,4.6,(63)
MIZUNO,Tenis Masculino Mizuno Space Confortável E Macio - Original,385,57,273,75,4.8,(186)
TMC,Tênis Masculino Academia Olympiko Esportivo Barato Original,78,90,61,54,4.4,(184)
OLYMPIKUS,Olympikus Ultraleve 155G Masculino Adultos,275,88,30,65,4.7,(19)
BF SHOES,Tênis Masculino Para Caminhada Academia Esportivo Bf Shoes,89,90,64,90,,
NEW BALANCE,Tênis New Balance 5740 Preto E Cinza - Masculino,399,90,38,77,4.7,(29)
OLYMPIKUS,Olympikus Diffuse 5 Masculino Adultos,299,90,236,55,4.8,(311)
,Tênis Masculino Esportivo Caminhada Academia Corrida - It,89,90,78,21,4.5,(362)
MIZUNO,Mizuno Jet 6 Masculino Adultos,329,80,197,88,4.7,(182)
MARATHON,Tênis Esportivo Academia Marathon Max 2 Ok Anti Impacto Leve,169,90,111,15,4.5,(27)
OLYMPIKUS,Tênis Olympikus Corre Grafeno 2 Para Corrida Maratona,849,90,662,92,,
MIZUNO,Tenis Masculino Mizuno Jet Performance Macio Leve - Original,327,85,216,38,4.9,(19)
OUSY SHOES,Tênis Caminhada Training Leve Masculino + Boné + Relógio,129,90,81,87,4.3,(405)
UNDER ARMOUR,Tênis Masculino Charged Skyline 3 Se Under Armour Oferta,379,99,36,84,4.8,(164)
MIZUNO,Tênis Feminino Ou Masculino Academia Promoção Pronta Entrega,98,50,32,83,4.3,(1342)
FILA,Tênis Fila Recovery Masculino Academia - Fitness,299,99,29,08,4.6,(206)
,Tênis Bolsonaro : Liberdade Style Super Confortável ,169,90,33,98,4.8,(100)
,Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort,52,90,17,63,4.6,(716)
OLYMPIKUS,Olympikus Eros Masculino Adultos,246,94,172,40,4.8,(1234)
FILA,Tênis Fila Racer Nairobi Preto Cinza E Verde - Masculino,379,99,296,39,4.7,(53)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,78,90,74,95,4.3,(71)
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,69,90,6,79,4.5,(370)
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,144,90,137,65,4.4,(291)
OLYMPIKUS,Olympikus Eros Masculino Adultos,246,94,172,40,4.8,(1234)
OLYMPIKUS,Olympikus Jogging 100 Masculino Adultos,210,33,168,,4.5,(65)
OLYMPIKUS,Olympikus Corre 3 Masculino Adultos,499,99,50,,4.5,(126)
OLYMPIKUS,Tênis Masculino Olympikus Dynamic Esportivo Moderno Original,299,90,239,92,4.9,(30)
,Tênis Esportivo It Shoes Amortecedor Gel Masculino,78,90,7,67,4.6,(547)
OLYMPIKUS,Tênis Masculino Olimp Treino Academia Leve Macio - Olympikus,229,99,188,59,4.8,(624)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,78,99,62,70,4.3,(2218)
EVOLTENN,Kit 3 Tênis Desportivo Solado Trançado Macio Envio Imadiato,189,90,170,91,4.0,(28)
OLYMPIKUS,Olympikus Reverb Masculino Adultos,214,57,30,,4.8,(326)
UNDER ARMOUR,Under Armour Spawn 3 Masculino Adultos,359,90,323,91,,
WM,Tenis Feminino Masculino Olimp Lançamento Super Promoção ,99,99,9,72,5.0,(7)
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,124,99,4.7,(1777)
OLYMPIKUS,Tênis Olympikus Index 3 Esportivo Original,189,77,175,15,4.9,(34)
TAYGRA,Taygra Original Para Dança Confortável  Preto - Envio 24hs ,179,90,17,49,4.8,(117)
,Kit Tênis Esportivo It Shoes Masculino + Relógio Digital,119,90,113,90,4.4,(296)
OLYMPIKUS,Tenis Masculino Olympikus Ultraleve Preto Corrida Caminhada,199,90,33,32,4.8,(303)
NB,Tênis Masculino New Balance 997s Sport Anatómico Macio ,209,99,194,99,5.0,(2)
MIZUNO,Mizuno Wave Mirai 5 Masculino Adultos,351,41,35,14,4.5,(529)
MIZUNO,Mizuno Wave Falcon 5 Masculino Adultos,431,80,252,08,4.8,(13)
,"Tenis Olympikus Proof 3 Masculino Numero 45,46,47,48",199,90,189,90,4.8,(407)
FILA,Tênis Fila Kr6 Masculino,466,83,326,20,4.8,(20)
OLYMPIKUS,Olympikus Corre Grafeno 2 Masculino Adultos,539,90,52,34,4.7,(17)
ZEUZ,Tênis Masculino Leve Esportivo Conforto Dia A Dia Elástico,89,90,29,97,4.5,(4)
,Tênis Bolsonaro Masculino Feminino Patriota Style Super Leve,199,90,33,32,4.7,(134)
OLYMPIKUS,Tenis Olympikus Dynamic Masculino,279,94,239,28,,
WM,Tenis Masculino Feminino Olimp Exclusivo Pronta Entrega,199,99,19,44,5.0,(3)
HARD,"Tenis Masculino, Corrida Esportivo Levinho Novo Lançamento",129,98,79,66,4.1,(49)
OLYMPIKUS,Olympikus Corre 3 Sem gênero Adultos,499,90,49,,4.8,(41)
VANELLI,Kit 2 Pares Tênis Masculino Esportivo Leve Macio Promoção,142,90,135,75,4.6,(63)
,Tenis Masculino Olimp Kit 02 Pares Academia Promoção Oferta,139,90,13,60,4.4,(2936)
ADAPTION,Adaption Limited Masculino Adultos,72,99,7,09,4.4,(463)
OLYMPIKUS,Tênis Olympikus Aquarius Masculino Adulto Corrida Treino,237,49,170,05,4.8,(47)
ON RUNNING,Tênis On Running Cloud X 2.0,599,90,59,99,4.9,(37)
ADIDAS,adidas Trainer V Masculino Adultos,599,99,58,17,5.0,(5)
ON RUNNING,Tênis On Running Cloud X Alloy,599,90,59,99,4.9,(9)
FILA,Tênis Fila Recovery Preto Masculino Cinza E Vermelho,379,99,254,59,,
,Kit Tênis 2 Pares Masculino Super Confortável Leve Academia,129,90,12,63,4.5,(48)
OLYMPIKUS,Tenis Masculino Olympikus Poseidon Confortavel - Original,220,22,189,38,4.7,(176)
ON RUNNING,Tênis On Running Cloud Blue Denim,599,90,59,99,5.0,(2)
OLYMPIKUS,Tênis Olympikus Corre 3 Unissex,499,99,50,,4.9,(291)
MIZUNO,Mizuno Wave Dynasty 5 Masculino Adultos,290,50,275,71,4.7,(887)
SCHIARELI,Tênis Confortavel Esportivo Leve Macio Varias Cores,139,90,34,98,4.7,(47)
,Sapatilha Híbrida Aquática Pesca Neoprene Trilha Bike Praia,53,67,17,,4.6,(206)
OLYMPIKUS,Tênis Olympikus Corre Supra Unissex,1.199,,120,,5.0,(5)
,Combo 2 Pares Tênis Jeet Masculino Corrida Caminha Promoção,249,90,150,58,4.3,(528)
CREATION,Combotênis Academia Creation 20 Combo De 3 Pares Confortável,199,90,33,32,4.1,(203)
NB,Tênis Nb Casual Esportivo Macio Leve Pronta Entrega Promoção,199,99,33,33,4.5,(22)
FILA,Fila Racer T2 Masculino Adultos,499,99,369,55,4.9,(89)
OLYMPIKUS,Tenis Masculino Olympikus Urbex,199,90,33,32,5.0,(26)
OLYMPIKUS,Tênis Olympikus Corre 3 Verde Azul E Rosa,499,99,48,47,5.0,(32)
FILA,Tenis Fila Masculino Promoção ,289,90,32,21,4.9,(9)
OLYMPIKUS,Tênis Olympikus Metro,209,90,34,98,,
,Kit 2 Tênis Ferrari New Caminhada Leve Confortável Promoção,259,90,168,93,4.3,(164)
,Tênis Meia Masculino E Feminino Sem Cadarço Confortável,62,90,59,75,4.7,(159)
,Tenis Masculino Academia Corrida Wave Force Promoção Barato,75,99,7,39,4.2,(338)
UNDER ARMOUR,Tênis Under Armour Charged Wing Se Masculino Original,339,99,244,79,4.7,(24)
OLYMPIKUS,Tênis Olympikus Jogging Original 0100 38/43,210,50,178,35,4.6,(85)
,Skechers GORun Fast Masculino Adultos,329,,,,,
NEW BALANCE,Tênis New Balance Fuelcell Rebel V4 Masculino,999,90,99,99,,
,Tenis Olympikus Cyber Masculino Original Academia Caminhada,237,49,178,60,4.8,(925)
ULTRABONE,Tênis Unissex Ultrabone Corrida Caminhada Ultra Leve E Macio,149,90,37,48,,
,Tênis Corrida Bolha Plus 1 Tn Muito Leve Novo Cr7 Mes,399,99,131,99,,
OLYMPIKUS,Tênis Olympikus Lap Preto Original,149,90,37,48,4.7,(65)
MIZUNO,Tenis Esportivo Exclusivo Atividade Fisica Leve Confortavel,149,90,14,57,4.6,(232)
PLAZA,Kit 2 Tênis Masculino Casual Esportivo Neo Running Academia,125,90,12,24,4.0,(62)
OLYMPIKUS,Tenis Olympikus Masculino Feminino 34 Ao 43 Pronta Entrega,109,99,10,69,4.3,(837)
OLYMPIKUS,Mega Oferta Olympikus Neblina C/ Nf Lucaisane Tênis,259,99,25,21,4.6,(28)
EVOLTENN,Kit Três Tênis Desportivo De Corrida Para Academia Promoção,198,90,179,01,4.6,(160)
OLYMPIKUS,Tênis Olympikus Corre 3 Verde,499,90,49,99,4.8,(120)
ASICS,Tênis Asics Masculino Feminino Varias Cores Do 34 Ao 43,99,99,9,72,4.0,(492)
ZEUZ,Tênis Masculino Esportivo Caminhada Academia Musculação Leve,80,33,7,81,4.4,(5)
TAYGRA,Tênis Taygra Conforto Original + Brinde Unissex Várias Cores,179,90,17,49,4.8,(94)
,Mizuno Wave Creation 20 Masculino Adultos,100,,,,5.0,(1)
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,209,90,34,98,5.0,(2)
OLYMPIKUS,Olympikus Challenger 4 Masculino Adultos,220,43,31,,4.8,(8)
BURCOLLI,Tênis Sapatilha Masculina Aquática Ciclista Trilha Bike,46,12,4,47,4.5,(37)
,"Tenis Esportivo Feminino Masculino,resistente, Confortavel!",69,90,6,79,4.5,(93)
MIZUNO,Tênis Masculino Wave Creation Treino Macio Original Promoção,199,90,129,93,3.8,(16)
PUMA,Puma Viz-Tech Viz Runner V2 BDP Masculino Adultos,333,22,33,32,4.6,(85)
MIZUNO,Mizuno Wave Vitality 4 Masculino Adultos,379,90,342,20,4.7,(188)
EVOLTENN,Kit 3 Tênis Desportivo Solado Trançado Macio Envio Imadiato,189,90,170,91,4.0,(28)
POLO JOY,Combo 2 Pares Tenis Masculino Polo Joy Sapatenis Casual,199,90,157,70,4.7,(1325)
FILA,Tenis Fila Racer Nairobi Preto/cinza/verde,347,34,277,87,,
,Kit Tênis De Corrida Masculino Academia Leve + Relógio,99,90,9,71,4.4,(252)
ADAPTION,Kit 2 Pares De Tenis Masculino Adaption Academia Limited ,129,90,12,63,4.1,(258)
FILA,Fila Cage Python Masculino Adultos,199,90,19,43,4.5,(197)
OLYMPIKUS,Tenis Masculino Olympikus Cyber 3,249,90,31,24,4.9,(56)
MIZUNO,Mizuno Cool Ride Masculino Adultos,262,75,32,,4.7,(816)
OLYMPIKUS,Olympikus Caminhada Cygnus Masculino Adultos,189,90,31,65,4.8,(887)
OLYMPIKUS,Tênis Olympikus Index 3 Original  Academia Confort  Utra Lev,189,99,31,67,4.5,(6)
ASICS,Tênis Masculino Asics Gel Revelation Original Corrida Ful,349,90,129,46,4.1,(7)
,Tenis Sapatilha Neoprene Bike Pesca Unissex Top Promoção ,52,33,17,,4.6,(480)
PLAZA,Kit 4 Pares Tênis Casual Esportivo Original Neo Atacado ,269,90,33,74,4.5,(15)
PERFLEX,Tênis Esportivo Academia Caminhada Corrida,59,90,49,71,,
OLYMPIKUS,Oferta Olympikus Cyber 3 Preto/ Dourado C/nf Lucaisane Tênis,219,99,21,38,4.9,(22)
ADAPTION,Kit 2 Tenis Masculino Academia Caminhada Promoção + Relogio,139,90,13,60,4.0,(27)
ADAPTION,Adaption Easy Masculino Adultos,41,97,3,,4.3,(1391)
MIZUNO,Mizuno Wave Hawk 4 Masculino Adultos,257,12,32,,4.6,(66)
UNDER ARMOUR,Tênis Under Armour Charged Wing Se Masculino Original,339,99,244,79,4.7,(24)
UNDER ARMOUR,Under Armour Charged Slight 2 Masculino Adultos,359,99,260,99,4.8,(334)
,Tenis Masculino Feminino Juvenil Academia Macio Confortável ,70,99,6,90,4.5,(524)
REPLAY,Tênis Repplay Rp410 Masculino Lançamento Liquidação,129,25,32,,,
MIZUNO,Mizuno Wave Hawk 4 Masculino Adultos,257,12,32,,4.6,(66)
ADAPTION,Kit 2 Tenis Masculino Caminhada Academia Promoção + Relogio,139,90,13,60,4.2,(440)
ASICS,Tênis Asics Jolt 4 Masculino,432,68,291,35,,
EVERLAST,Tênis Everlast Legacy Treino Academia Caminhada Corrida Leve,239,87,148,71,,
FILA,Fila Outfield Masculino Adultos,225,99,32,28,4.7,(24)
UNDER ARMOUR,Tênis Under Armour Academia Caminhada Masculino Charged 2,262,49,209,99,4.8,(326)
,Tenis Para Caminhada Academia Corrida Treino - Leve E Macio,68,90,63,65,4.5,(233)
REEBOK,Tênis Masculino Royal Complete Sport Reebok Novo,329,99,236,99,4.9,(13)
UNDER ARMOUR,Tênis Under Armour Prorun Se Preto,289,90,32,21,,
OLYMPIKUS,Tenis Masculino Olympikus Index 3 Lançamento Original + Nf,211,10,162,54,4.5,(15)
OLYMPIKUS,Tênis Olympikus Neblina Masculino,279,90,31,10,4.5,(15)
HARD,"Tenis Masculino Confortável, Leve, Ótimo Pra Corrida",129,82,74,27,4.7,(89)
MIZUNO,Tênis Mizuno Wave Creation 20 Original Academia Caminhada,199,90,129,93,,
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,59,90,5,82,4.6,(45)
,Tênis Masculino Corrida Advanced Edição Run Nova Tecnologia,109,90,36,63,4.5,(195)
NEW BALANCE,Tênis New Balance 411 V3 Masculino Original,299,99,218,19,4.4,(11)
,Tênis Masculino Hot Sol Numero Especial 38 Ao 48,119,90,11,65,4.6,(76)
POLO JOY,Polo Joy 900 Masculino Adultos,96,33,9,,4.7,(137)
OLYMPIKUS,Tênis Olympikus Jogging 0100 33/44,187,30,168,36,4.7,(160)
POLO JOY,Combo 2 Pares Tenis Masculino Polo Joy Casual Slip On Iate,169,90,16,51,4.6,(346)
OLDSEN,Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top,59,90,5,82,4.7,(19)
OLYMPIKUS,Tênis Olympikus Ultraleve 237g,178,24,160,20,,
OLYMPIKUS,Olympikus Jogging 101 Masculino Adultos,190,47,18,,4.6,(1497)
,Tênis Masculino Hot Sol Numero Especial 38 Ao 48 Para Treino,119,90,39,97,4.6,(11)
OLYMPIKUS,Tenis Masculino Olympikus Poseidon Marinho/branco,189,90,151,92,4.3,(7)
,Kit 2 Tenis Masculino Esportivo Adulto Caminhada Corrida To,139,48,13,56,,
OLYMPIKUS,Tênis Masculino Olimp Confortável Corrida E Caminhada Macio,229,30,160,58,4.8,(1850)
SKECHERS,Tênis Skechers Go Walk Max Modula Masculino Casual,199,89,19,43,4.9,(15)
NB,Tênis Masculino N&b 997s Reverl Absordb Sport Lançamento,204,99,19,93,4.5,(25)
,Tênis Olympikus Proof 3 Masculino Original Esportivo N* 48,199,99,189,99,4.9,(56)
OLYMPIKUS,Tenis Olympikus Diffuse Masculino Feminino Do 34 Ao 43,109,99,10,69,4.4,(125)
NEW BALANCE,Ténis Masculino New Balance 997s Original Apronta Entrega,234,99,195,04,4.0,(41)
WAVE,Kit Com 3 Pares Super Promoção Tênis Esportivo Molas Creatio,218,90,31,27,4.0,(53)
,Tenis Masculino Casual Elástico Confortavel Lançamento ,199,90,33,32,4.8,(10)
,Tênis Masculino Balance Corrida Leve 12 Mola,119,90,99,51,4.0,(4)
MIZUNO,Tênis Mizuno Masculino 12s Super Oferta!,339,97,166,58,,
ASICS,Tênis Asics Revelation Original Corrida Macio Envio Imediato,249,91,99,96,4.5,(18)
OLYMPIKUS,Tênis Olympikus Corre 3 Unissex,499,99,50,,4.2,(5)
,Tênis Masculino Exclusivo Sport New Balance 997s Lançamento,209,99,191,09,,
NEW BALANCE,Tênis New Balance 997s Sport Exclusivo Lançamento ,209,07,198,61,,
WEST,Tênis Kit 2 Pares Mizwest 20 Promoção Masculino Garantia !!1,155,90,15,15,4.0,(304)
ASICS,Tênis Asics Gel Original Leve Macio Academia Treino Corrida,159,90,31,98,4.2,(20)
,Tênis Olimpikus Masculino Feminino Difuse Flash Promoção,96,49,9,38,4.1,(183)
OLYMPIKUS,Tênis Esportivo Masculino E Feminino Asfalto Olympikus,279,99,152,99,4.9,(208)
MIZUNO,Tenis Miz Wave Ultima 7 Melhor Qualidade Envio Rápido,149,90,37,48,,
,Tênis Corrida Bolha Plus 1 Tn Muito Leve Novo Cr7 Neymar,399,99,131,99,,
WAVE,Kit 3 Pares De Tênis Creation Academia Caminhada Corrida Pro,219,90,31,41,4.0,(10)
OLYMPIKUS,Tenis Feminino E Masculino Confortável Para Esportes Oferta,199,90,99,95,,
NEW BALANCE,Tênis Masculino New Balance 247 Couro Academia Caminhada,299,90,128,95,5.0,(4)
,Tênis Mizun Propheency Ls 8 X Novidade Promoção Frete Off,152,98,145,33,,
MIZUNO,Tênis Mizuno Jet Classic,94,90,9,22,,
OLYMPIKUS,Tênis Olympikus Challenger 4 Unissex,159,99,32,,4.4,(12)
STYLL BABY,Tênis Mizun Styll Wave Creation 20 Masculino Tamanho 38 A 45,99,90,33,30,4.3,(18)
ON RUNNING,Tênis De Corrida On Running Cloud 5 Masculino Fog/alloy 12x,949,90,94,,,
OLYMPIKUS,Olympikus Lightspeed Sem gênero Adultos,110,,99,,4.4,(95)
MIZUNO,Tênis Esportivo Pro 8 Wave Preto Refletivo Conforto E Estilo,391,03,39,10,,
CREATION,Tênis Creation 20 Masculino Oferta 2 Pares Combo Promoção,149,50,37,38,4.5,(22)
WAVE,Combo 3 Tênis Masculino Esportivo Promoção Wave Creation,218,90,31,27,3.8,(53)
MIZUNO,Mizuno Cool Ride 2 Masculino Adulto,299,53,33,28,,
FILA,Fila Racer Carbon 2 Masculino Adultos,1.099,99,109,,5.0,(2)
,Tenis Sapatilha Trilha Pesca Ciclismo Antiderrapante Unissex,132,90,33,22,4.7,(119)
OLYMPIKUS,Tenis Esportivo Masculino Feminino Barato Leve E Resistente,109,90,97,81,4.2,(452)
MIZUNO,Tenis Nirvana 9 Academia/caminhada Run Wr !!!,149,99,14,58,4.5,(1379)
ASICS,Tênis Asics Gel Sendai Couro Leve Macio Promoção Garantia,299,90,125,95,,
ON RUNNING,Tênis On Running The Roger Pro Masculino,1.249,99,124,,,
NEW BALANCE,Tênis New Balance 247 Preto Branco Lançamento Envio Imediato,299,90,128,95,4.7,(3)
ASICS,Tênis Asics Gel Revelation Original Couro Academia Caminhada,249,92,99,96,3.8,(8)
MZ,Tênis Feminino Mizuno Jet Promoção Caminhada Crossfit Run,79,90,26,63,,
OLYMPIKUS,Tênis Olympikus Corre 3,499,99,50,,4.9,(9)
ASICS,Tênis Masculino Asics Gel Sendai Original Academia Corrida,299,90,125,95,,
NEW BALANCE,Tênis Masculino New Balance 247 Original Envio Imediato Ful,349,90,139,96,4.8,(4)
,Tenis Casual Old Masculino Leve Confortavel,79,90,26,63,,
,Tênis Masculino Ferrari New Caminhada Confortável Promoção,239,90,119,95,,
UNDER ARMOUR,Tênis De Corrida Under Armour Charged Starlight,199,99,33,33,4.9,(7)
ASICS,Tênis Masculino Asics Gel Academia Caminhada Novo Leve Macio,349,90,129,46,4.3,(24)
OLYMPIKUS,Olympikus CORRIDA Reverso 2 Masculino Adultos,309,99,30,05,4.9,(35)
MIZUNO,Tênis Mizuno Jet Classic,109,90,36,63,,
OLYMPIKUS,Tenis Masculino Feminino Revelation Academia Pronta Entrega,109,99,10,69,4.2,(203)
,Tênis Olimpikus Masculino Feminino Difuse Flash Promoção Lev,99,99,9,72,4.5,(44)
RAINHA,Tênis Rainha Abbey Masculino Ra01990009 ,258,90,32,36,5.0,(1)
,Tênis Para Academia Corrida Trabalhar Caminhada,99,90,33,30,4.5,(14)
ASICS,Tênis Asics Gel Sendai Couro Leve Macio Promoção Garantia,99,90,33,30,,
MIZUNO,Tênis Masculino Creation Molas Corrida Lançamento Oferta,199,90,129,93,,
OLYMPIKUS,Tênis Olimpikus Olympikus  Confortavel Envio Imediato Leve,99,99,9,72,4.1,(125)
CREATION,3 Pares Tênis Confortável Creation 20 Oferta Ótima Qualidade,197,90,32,98,4.7,(34)
MIZUNO,Tênis Masculino Mizuno Wave Creation Original Macio Corrida,199,90,129,93,5.0,(3)
FILA,Tenis Fila Float Prime Masculino Adulto Original Corrida,399,90,259,93,,
ASICS,Tênis Asics Gel Sendai Couro Academia Macio Envio Imediato,299,90,119,95,,
NEW BALANCE,Tênis Masculino New Balance 247 Original Preto Branco Novo,349,90,139,96,,
ASICS,Tênis Masculino Asics Gel Revelation Original Couro Academia,299,90,128,95,4.5,(2)
,Sapatilha Híbrida Água Ciclismo Pesca Trilha ,132,90,33,22,4.6,(8)
ASICS,Tênis Asics Masculino Feminino Varias Cores Pronta Entrega,96,49,9,38,4.2,(65)
NEW BALANCE,Tênis Masculino New Balance 247 Premium Pronta Entrega Macio,349,90,139,96,,
MIZUNO,Tênis 12 Molas Masculino Mizu Pro 7 Camaleão Refletivo Promo,159,90,15,54,,
MIZUNO,Mizuno Wave Prophecy X Masculino Adultos,255,80,91,92,3.3,(61)
,Vans Knu Stack Masculino Adultos,100,,,,,
SOFT WORKS,Sapato Super Leve Macio Antiderrapante Cozinha Enfermagem Ca,78,90,7,67,4.2,(5)
,Tênis Esportivo Fast Pro Tenis New Fashion Respirável Branco,189,90,169,01,,
